date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:42:33	139/139	---M-Z	200	added ('OK')	text/plain	etag:%2211e-465590721e840-gzip%22	http://www.rodart.it/robots.txt		(from )
21:42:33	6954/6954	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2020:42:33%20GMT	http://www.rodart.it/	docs/www.rodart.it/index.html	(from )
21:42:34	5430/5430	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221536-465591c4ac700%22	http://www.rodart.it/images/favicon.ico	docs/www.rodart.it/images/favicon.ico	(from http://www.rodart.it/)
21:42:35	5061/5061	---M-Z	200	added ('OK')	text/css	etag:%2213c5-4d309d1ceccc0-gzip%22	http://www.rodart.it/templates/roda/css/template_css.css	docs/www.rodart.it/templates/roda/css/template_css.css	(from http://www.rodart.it/)
21:42:36	6092/6092	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2020:42:36%20GMT	http://www.rodart.it/biografia.html	docs/www.rodart.it/biografia.html	(from http://www.rodart.it/)
21:42:37	103224/103224	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2020:42:37%20GMT	http://www.rodart.it/recensioni.html	docs/www.rodart.it/recensioni.html	(from http://www.rodart.it/)
21:42:38	5708/5708	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2020:42:38%20GMT	http://www.rodart.it/pagine/dicono-di-me.html	docs/www.rodart.it/pagine/dicono-di-me.html	(from http://www.rodart.it/)
21:42:39	12155/12155	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2020:42:39%20GMT	http://www.rodart.it/pagine/curriculum.html	docs/www.rodart.it/pagine/curriculum.html	(from http://www.rodart.it/)
21:42:40	21042/21042	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2020:42:40%20GMT	http://www.rodart.it/galleria.html	docs/www.rodart.it/galleria.html	(from http://www.rodart.it/)
21:42:41	8039/8039	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2020:42:41%20GMT	http://www.rodart.it/contatti/rod-a/rosalba-darienzo.html	docs/www.rodart.it/contatti/rod-a/rosalba-darienzo.html	(from http://www.rodart.it/)
21:42:42	4650/4650	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2020:42:42%20GMT	http://www.rodart.it/news/hanno-scritto-di-rod.html	docs/www.rodart.it/news/hanno-scritto-di-rod.html	(from http://www.rodart.it/)
21:42:43	15089/15089	---M--	200	added ('OK')	image/jpeg	etag:%223af1-4655938e6ff00%22	http://www.rodart.it/templates/roda/images/he.jpg	docs/www.rodart.it/templates/roda/images/he.jpg	(from http://www.rodart.it/templates/roda/css/template_css.css)
